brewery_region,brewery_country_code,brewery_city,brewery_country,brewery,beer_name,comments,style,abv,
UK,N/A,Glasgow,Scotland,Overtone,Pearl Clouds,,Oat Cream TIPA,10.5,
UK,N/A,Glasgow,Scotland,Overtone,Chufft,,DIPA,8.0,
UK,N/A,Glasgow,Scotland,Overtone,Plur,,DIPA,8.0,
UK,N/A,Glasgow,Scotland,Overtone,Ella-Mentary,,IPA,7.0,
UK,N/A,Glasgow,Scotland,Overtone,Smash It!,,IPA,5.0,
UK,N/A,Glasgow,Scotland,Zapato,Zapatapale - Motueka,,New England Pale,5.5,
UK,N/A,Glasgow,Scotland,Zapato,Oco,,West Coast IPA,6.9,
UK,N/A,Glasgow,Scotland,Zapato,Zapatapale - Ekuanot BBC,,New England Pale,5.5,
UK,N/A,Glasgow,Scotland,Zapato,Delegate Zero,,India Porter,6.3,
UK,N/A,Glasgow,Scotland,Zapato,Shoom,,Pale Ale,4.4,
UK,N/A,Leeds,England,Northern Monk,Glory,,TIPA,10.5,
UK,N/A,Leeds,England,Northern Monk,Faith,,Hazy Pale Ale,5.4,
UK,N/A,Leeds,England,Northern Monk,Heathen,,New England IPA,7.2,
UK,N/A,Leeds,England,Northern Monk,Hop City // The Resurrection,"w/ Yakima Chief, Other Half & Zagovor",DDH IPA,7.4,
UK,N/A,Leeds,England,Northern Monk,OFS046,,New England IPA,5.1,
UK,N/A,Leeds,England,Northern Monk,OFS047,w/ recycled Brewing,Dole Whip Pale Ale,5.5,
UK,N/A,Leeds,England,Northern Monk,OFS048,w/ Tripping Animals,New England DIPA,8.5,
UK,N/A,Leeds,England,Northern Monk,Fresh IPA 003,,TIPA,11.9,
UK,N/A,Leeds,England,Northern Monk,The Awakening,,DDH DIPA,8.6,
UK,N/A,Leeds,England,Northern Monk,Crowd for the Summer,w/ Wylam,DDH IPA,7.4,
UK,N/A,Leeds,England,Northern Monk,OFS043,,India Pale Lager,5.4,
UK,N/A,Leeds,England,Northern Monk,OFS044,,Banana Mango Lassi IPA,4.5,
UK,N/A,Leeds,England,Northern Monk,Honour,,West Coast TIPA,10.5,
UK,N/A,Leeds,England,Northern Monk,West Coast Routes #3,,West Coast IPA,7.0,
UK,N/A,Leeds,England,Northern Monk,"Ubuntu, WDYTM?",,Tropical DIPA,8.2,
UK,N/A,Leeds,England,Northern Monk,Cask // Faith,,Hazy Pale Ale,5.4,
UK,N/A,Leeds,England,Northern Monk,Cask // Striding Edge,,Light IPA,2.8,
UK,N/A,Leeds,England,Northern Monk,Cask // Mangoes on with Faith,,Fruited Pale,5.4,
UK,N/A,Leeds,England,Northern Monk,Cask // Scafell,,New England,6.5,
UK,N/A,Hartlepool,England,Donzoko,Northern Helles,,Unfiltered Lager,4.2,
UK,N/A,Hartlepool,England,Donzoko,Gravity Keg // Northern Helles,,Unfiltered Lager,4.2,
UK,N/A,Hartlepool,England,Donzoko,Gravity Keg // Big Foam,,Rustic Lager,5.0,
UK,N/A,Hartlepool,England,Donzoko,Bigger Foam,Bottle Conditioned,Rustic Lager,5.0,
UK,N/A,Hartlepool,England,Donzoko,Brett A Manger,,Bretted Lager,4.7,
UK,N/A,Hartlepool,England,Donzoko,Letting the days go by Cherry,,Fruited Saison,6.3,
UK,N/A,Hartlepool,England,Donzoko,Tied Vines,,English Grape Saison,8.0,
UK,N/A,Hartlepool,England,Donzoko,Cloud Beer,,White Ale,4.6,
UK,N/A,Manchester,England,Future State,Ballroom on Glass,,DIPA,8.1,
UK,N/A,Bristol,England,Newtown Park,Five Point Six,,IPA,5.6,
UK,N/A,Nottingham,England,Neon Raptor,Rob's Shoes,,New England Pale,5.1,
UK,N/A,Nottingham,England,Neon Raptor,Naughty Luggage,,New England IPA,6.8,
UK,N/A,Nottingham,England,Neon Raptor,Use it or Lose It,,Fruited Sour IPA,7.2,
UK,N/A,Nottingham,England,Neon Raptor,Open the Door,,5th Birthday TIPA,10.0,
UK,N/A,Cheltenham,England,Deya,Steady Rolling Man,,Pale Ale,5.2,
UK,N/A,Cheltenham,England,Deya,I do this all the Time,,Wit Beer,4.5,
UK,N/A,Cheltenham,England,Deya,Saturated Simcoe,,DIPA,8.0,
UK,N/A,Cheltenham,England,Deya,Momentary Bliss,w/ Glassworks,DIPA,8.0,
UK,N/A,Cheltenham,England,Deya,Sunshine,,IPA,6.4,
UK,N/A,Cheltenham,England,Deya,Brett Pils,,Mixed Ferm Pils,4.2,
UK,N/A,Cheltenham,England,Deya,Something Good 15,,IPA,6.2,
UK,N/A,Cheltenham,England,Deya,Cask // Man is the Most Secret Animal on Earth,w/ Burning Sky,Pale Ale,4.5,
UK,N/A,London,England,Mash Gang,Stoop Lager,,Low-Alcohol Lager,0.5,
UK,N/A,London,England,Mash Gang,Spirritual Journey,,DDH Low-Alcohol Pale Ale,0.5,
UK,N/A,London,England,Mash Gang,Dead Mall,,Mango Milkshake IPA,0.5,
UK,N/A,London,England,Mash Gang,Terp City,,"Purple Grape Slushy w/ Blueberry, Malic Acid & Blackberry Kush Terpenes",0.5,
UK,N/A,London,England,Mash Gang,Tahiti Treat,,"Tropical Slushee w/ Mango, Rum, Chilli & Lime",0.5,
UK,N/A,Newcastle,England,Alpha Delta,Achlys,,DIPA,8.2,
UK,N/A,Newcastle,England,Alpha Delta,Erebus,,Double Black IPA,8.5,
UK,N/A,Newcastle,England,Alpha Delta,Pontus,,Sour Farmhouse IPA,6.5,
UK,N/A,Newcastle,England,Alpha Delta,Methe,,Kviek TIPA,11.0,
UK,N/A,Margate,England,Floc,Easy Way Out,,DIPA,8.0,
UK,N/A,Margate,England,Floc,If We Were,,IPA,6.5,
UK,N/A,Margate,England,Floc,Ever So,w/ Deya,IPA,6.2,
UK,N/A,Leeds,England,North Brewing Co.,Watching Light Move,,DIPA,8.0,
UK,N/A,Leeds,England,North Brewing Co.,Fading Frontier,,DIPA,8.4,
UK,N/A,Leeds,England,North Brewing Co.,The Eighth Chamber,,West Coast IPA,7.0,
UK,N/A,Leeds,England,North Brewing Co.,Springwell Pils,,Pilsner,4.5,
UK,N/A,Leeds,England,North Brewing Co.,Transmission,,IPA,6.9,
UK,N/A,Cornwall,England,Pipeline,Galaxy Dreams,,DDH IPA,5.6,
UK,N/A,Cornwall,England,Pipeline,Citra Deluxe,,IPA,6.2,
UK,N/A,Cornwall,England,Pipeline,Cryo Pop,,DIPA,8.0,
UK,N/A,Cornwall,England,Pipeline,Hyperdrive,w/ MakeMake,DDH IPA,7.2,
UK,N/A,Chorley,England,Rivington,Never Known Fog Like It,,New England Pale,5.2,
UK,N/A,Chorley,England,Rivington,The Guy Was an Interior Designer,,DDH Pale Ale,5.5,
UK,N/A,Chorley,England,Rivington,They Live,,DIPA,8.0,
UK,N/A,Chorley,England,Rivington,Way Before Nirvana,w/ Chain House,DDH IPA,6.2,
UK,N/A,Chorley,England,Rivington,Cask // Beach House,,Pale Ale,3.8,
UK,N/A,Mold,Wales,Pollys,DDH Spur,,TIPA,10.0,
UK,N/A,Mold,Wales,Pollys,High Speed Soul,,DIPA,7.9,
UK,N/A,Mold,Wales,Pollys,Extra Scene,,IPA,6.7,
UK,N/A,Mold,Wales,Pollys,Made For Light,,DDH Pale Ale,5.5,
UK,N/A,Newcastle,England,Wylam,Tango Till They're Sore,,Wheat IPA,7.0,
UK,N/A,Newcastle,England,Wylam,Betty the Bat,,TIPA,10.5,
UK,N/A,Newcastle,England,Wylam,Smush,,DIPA,8.8,
UK,N/A,Newcastle,England,Wylam,Crying The Neck,w/ Verdant,Wheat DIPA,8.0,
UK,N/A,Newcastle,England,Wylam,Cask // Jakehead,,IPA,6.3,
UK,N/A,Lewes,England,Beak Brewery,Parade,,IPA,6.0,
UK,N/A,Lewes,England,Beak Brewery,Locals,,IPA,6.0,
UK,N/A,Lewes,England,Beak Brewery,Cabbit,,DIPA,8.5,
UK,N/A,Lewes,England,Beak Brewery,Popple,,Pale Ale,5.5,
UK,N/A,Lewes,England,Beak Brewery,Supp,,IPA,7.0,
USA,N/A,New York,USA,Other Half,Triple Mosaic Daydream,,Imperial Oat Cream IPA,10.5,
USA,N/A,New York,USA,Other Half,Brocoli Special Reserve,,Imperial IPA,8.3,
USA,N/A,New York,USA,Other Half,DDH Citra & Galaxy,,Imperial IPA,8.5,
USA,N/A,New York,USA,Other Half,DDH Green Down to the Socks,,DDH DIPA,8.2,
USA,N/A,New York,USA,Other Half,DDH Space Dream,,DDH Oat Cream IPA,6.0,
USA,N/A,New York,USA,Other Half,Triple Citra Daydream,,Imperial Oat Cream IPA,10.5,
USA,N/A,New York,USA,Other Half,I can't C What You Sea,w/ Vitamin Sea,Imperial IPA,8.0,
USA,N/A,New York,USA,Other Half,DDH Green City,,DDH IPA,7.0,
USA,N/A,New York,USA,Other Half,Blue Crab,,IPA,6.5,
USA,N/A,Virginia,USA,Aslin,Brewer Series #5,,Rye IPA,6.0,
USA,N/A,Virginia,USA,Aslin,Bringing Sexy Back,,IPA,6.4,
USA,N/A,Virginia,USA,Aslin,Glasses of Nerdicon,,DIPA,8.5,
USA,N/A,Virginia,USA,Aslin,Mind the Hop,,New England IPA,9.4,
USA,N/A,Virginia,USA,Aslin,Orange Starfish,,New England IPA,5.7,
USA,N/A,Virginia,USA,Aslin,Double Orange Starfish,,DDH New England DIPA,8.3,
USA,N/A,Virginia,USA,Aslin,She,,IPA,6.7,
USA,N/A,Virginia,USA,Aslin,Suburban Home,,DIPA,8.3,
USA,N/A,Virginia,USA,Aslin,Wink Wink,w/ Front Royal,West Coast IPA,7.0,
USA,N/A,Virginia,USA,Aslin,Rubber Walrus Protector,,DDH IPA,6.5,
USA,N/A,Florida,USA,Tripping Animals,Ever Haze,,New England IPA,7.0,
USA,N/A,Florida,USA,Tripping Animals,Shoobie,w/ Woven Water,DIPA,8.5,
USA,N/A,Florida,USA,Tripping Animals,Lobsters & Pina Coladas,w/ Definitive Brewing,TIPA,10.0,
USA,N/A,Florida,USA,Tripping Animals,Super Duper Nice,,Fruited Sour,6.0,
USA,N/A,Florida,USA,Tripping Animals,Otters & O's,,Fruited Sour,6.0,
USA,N/A,Florida,USA,Tripping Animals,King Louie's Pie,,Fruited Sour,6.0,
USA,N/A,Virginia,USA,The Answer,In Russia Beer Brew You,,TDH DIPA,8.0,
USA,N/A,Virginia,USA,The Answer,Galactic Oats,,IPA,6.0,
USA,N/A,Virginia,USA,The Answer,Nothing But Illustrious Hops,,DIPA,8.0,
USA,N/A,Virginia,USA,The Answer,Lookin Problem,,DIPA,8.0,
USA,N/A,,USA,Vitamin Sea,Alone & Adrift,,New England IPA,6.8,
USA,N/A,,USA,Vitamin Sea,Broken Promises,,New England IPA,6.8,
USA,N/A,,USA,Vitamin Sea,Foil,,New England IPA,7.2,
USA,N/A,,USA,Vitamin Sea,"More Cans, Less Cans",,New England IPA,6.2,
USA,N/A,,USA,Vitamin Sea,Nice & Easy,,New England IPA,4.9,
USA,N/A,,USA,Vitamin Sea,Peninsula,,New England IPA,6.0,
USA,N/A,,USA,Vitamin Sea,Ramble & Roam Lime,,Session IPA,4.2,
USA,N/A,,USA,Vitamin Sea,Sour Pipe: Strawberry Pancake,,Fruited Sour,6.0,
USA,N/A,,USA,Vitamin Sea,Throwing Darts #3,,New England IPA,6.8,
USA,N/A,,USA,Vitamin Sea,Throwing Darts #4,,New England IPA,6.8,
USA,N/A,,USA,Great Notion,Passionfruit Mochi,,Fruited IPA,7.0,
USA,N/A,,USA,Great Notion,Over Ripe,,New England IPA,7.0,
USA,N/A,,USA,Great Notion,The Time Keeper,,New England IPA,7.0,
USA,N/A,,USA,Great Notion,Afterglow,,IPA,7.0,
USA,N/A,,USA,Great Notion,Return to Space,,New England IPA,7.2,
USA,N/A,New York,USA,Equilibrium,Photon ,,Pale Ale,4.8,
USA,N/A,New York,USA,Equilibrium,Photon Citrus,,Fruited Pale Ale,4.8,
USA,N/A,New York,USA,Equilibrium,Astrophysics,,IPA,6.5,
USA,N/A,New York,USA,Equilibrium,Wavelength,,IPA,6.5,
USA,N/A,New York,USA,Equilibrium,DHOP33,,DDH DIPA,8.5,
USA,N/A,New York,USA,Equilibrium,18 Decillion,w/ Omnipollo,DDH DIPA,8.5,
USA,N/A,,USA,Suds & Soda,Mountains Walking Grazing Clouds,,New England IPA,7.0,
USA,N/A,,USA,Suds & Soda,Cloud Curtain Nelson Sauvin,,DDH New England DIPA,8.5,
USA,N/A,,USA,Suds & Soda,DDH Tin Sky,,DDH New England DIPA,8.0,
USA,N/A,,USA,Suds & Soda,Adroit Theory AK #1,,New England DIPA,8.0,
USA,N/A,,USA,Suds & Soda,Heaving Through Corrupted Lungs,,DDH New England DIPA,8.0,
USA,N/A,,USA,Suds & Soda,Death Ronin,,IPA,6.5,
USA,N/A,,USA,Suds & Soda,Brix City Sunrise Juice,,DIPA,8.0,
USA,N/A,,USA,Suds & Soda,Just Another Double IPA,,DIPA,8.0,
USA,N/A,,USA,Suds & Soda,Cloud of Sound,,New England Pale,5.5,
USA,N/A,,USA,Sierra Nevada,Dankful,,IPA,7.4,
USA,N/A,California,USA,Sierra Nevada,Big Little Thing,,Imperial IPA,9.0,
USA,N/A,California,USA,Sierra Nevada,Hoptimum,,Triple IPA,10.6,
USA,N/A,California,USA,Sierra Nevada,Experimental IPA,,IPA,6.7,
USA,N/A,California,USA,Sierra Nevada,Torpedo,,West Coast IPA,7.2,
